,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations,Region
47,Arkansas,Cities,El Dorado,18860.0,2349.0,575.0,1678.0,96.0,559,165.0,241.0,153.0,2.0,1.0,1.0,,3.0,10.0,2.0,,7.0,1.0,1.0,,1.0,7.0,,429.0,90.0,327.0,1.0,,69.0,36.0,32.0,1.0,,,691.0,,,78.0,1.0,,19.0,,593.0,35.0,29.0,,83.0,73.0,10.0,,,,,,,,,,13.0,South Central (West)
48,Arkansas,Cities,Elkins,2718.0,51.0,16.0,23.0,12.0,14,2.0,8.0,4.0,,,,,1.0,1.0,,,,1.0,,,,,,4.0,2.0,3.0,,,,,,,,,13.0,,,3.0,5.0,,,,5.0,1.0,,,12.0,10.0,2.0,,,,,,,,,,,South Central (West)
49,Arkansas,Cities,Eudora,2261.0,70.0,37.0,33.0,0.0,36,,7.0,29.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,10.0,,,,,,,,,20.0,,,,2.0,,2.0,,16.0,,1.0,,,,,,,,,,,,,,,South Central (West)
50,Arkansas,Cities,Eureka Springs,2082.0,208.0,51.0,134.0,23.0,49,1.0,35.0,13.0,,,,,,2.0,2.0,,,,,,,,,20.0,1.0,27.0,,,7.0,,7.0,,,,77.0,1.0,,5.0,8.0,,5.0,1.0,57.0,2.0,,,23.0,14.0,9.0,,,,,,,,,,,South Central (West)
51,Arkansas,Cities,Fairfield Bay,2319.0,88.0,23.0,62.0,3.0,23,5.0,10.0,8.0,,,,,,,,,,,,,,1.0,,17.0,2.0,2.0,,,3.0,,1.0,2.0,,,34.0,,,,15.0,,4.0,4.0,11.0,,,3.0,3.0,3.0,,,,,,,,,,,,South Central (West)
52,Arkansas,Cities,Farmington,6133.0,294.0,115.0,149.0,30.0,104,28.0,46.0,30.0,,,,,2.0,9.0,2.0,2.0,,5.0,,,,,,29.0,8.0,29.0,,,1.0,,1.0,,,,80.0,,,,29.0,,28.0,2.0,21.0,1.0,,1.0,26.0,20.0,6.0,,,,,,1.0,,,,3.0,South Central (West)
53,Arkansas,Cities,Fayetteville,75387.0,7268.0,1737.0,4680.0,851.0,1631,289.0,1007.0,335.0,2.0,1.0,,1.0,32.0,71.0,59.0,,1.0,11.0,1.0,,1.0,7.0,,515.0,156.0,998.0,,2.0,303.0,102.0,161.0,40.0,,,2455.0,1.0,1.0,428.0,816.0,2.0,622.0,95.0,490.0,128.0,40.0,76.0,783.0,476.0,307.0,,,,,,22.0,6.0,4.0,2.0,40.0,South Central (West)
54,Arkansas,Cities,Flippin,1354.0,260.0,37.0,103.0,120.0,33,3.0,17.0,13.0,,,,,,4.0,2.0,,,2.0,,,,,,20.0,1.0,18.0,,,1.0,,1.0,,,,61.0,,,14.0,14.0,,9.0,2.0,22.0,,1.0,1.0,113.0,97.0,16.0,,,,,,6.0,,,,1.0,South Central (West)
55,Arkansas,Cities,Fordyce,4295.0,410.0,131.0,263.0,16.0,121,26.0,68.0,27.0,2.0,2.0,,,1.0,7.0,4.0,1.0,,2.0,,,,1.0,,69.0,11.0,21.0,,,6.0,1.0,5.0,,,,139.0,,,17.0,15.0,,14.0,1.0,92.0,7.0,7.0,2.0,13.0,12.0,1.0,,,,,,,,,,3.0,South Central (West)
56,Arkansas,Cities,Forrest City,15295.0,2625.0,703.0,1813.0,109.0,677,74.0,387.0,216.0,4.0,4.0,,,3.0,17.0,6.0,,,11.0,2.0,,2.0,6.0,,355.0,61.0,458.0,2.0,,15.0,5.0,6.0,4.0,,,839.0,2.0,1.0,145.0,279.0,1.0,221.0,11.0,179.0,32.0,38.0,7.0,96.0,91.0,5.0,2.0,,1.0,,1.0,,,,,11.0,South Central (West)
57,Arkansas,Cities,Fort Smith,87483.0,11276.0,2761.0,7066.0,1449.0,2577,522.0,999.0,1056.0,5.0,5.0,,,31.0,144.0,70.0,10.0,,64.0,4.0,2.0,2.0,10.0,,1077.0,215.0,1309.0,,,495.0,272.0,174.0,47.0,2.0,,3640.0,4.0,,627.0,504.0,13.0,635.0,51.0,1806.0,196.0,95.0,29.0,1299.0,924.0,375.0,4.0,,1.0,3.0,,10.0,34.0,33.0,1.0,102.0,South Central (West)
